id,waveId,kickoffAt,dueAt,sendBy,followUpAt,dispatchStatus,timeboxMinutes,reviewerCohort,reviewerRole,destination,device,viewport,surfaces,startUrl,packetPath,submissionTemplatePath,completedSubmissionPath,messageSubject
BETA-HR-001,BETA-WAVE-01,2026-05-22,2026-05-25,2026-05-22,2026-05-24,prepared-not-sent,45,continuity reviewer,mobile couple beta reviewer,Athens,phone,390x844,planner; trip-studio; map; public-share; feedback; save-reopen,https://globe-travel-two.vercel.app/chat?q=Plan+a+restful+5-day+Athens+trip+for+a+couple+with+culture%2C+food%2C+and+recovery+time.,qa/beta-human-review-packets-2026-05-21/BETA-HR-001-athens.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.json,[Globe.travel beta] BETA-HR-001 Athens review due 2026-05-25
BETA-HR-002,BETA-WAVE-01,2026-05-22,2026-05-25,2026-05-22,2026-05-24,prepared-not-sent,45,share-feedback reviewer,desktop friend group beta reviewer,Lisbon,desktop,1440x950,planner; trip-studio; map; public-share; feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Lisbon+trip+for+friends+who+want+food%2C+viewpoints%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-002-lisbon.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.json,[Globe.travel beta] BETA-HR-002 Lisbon review due 2026-05-25
BETA-HR-003,BETA-WAVE-01,2026-05-22,2026-05-25,2026-05-22,2026-05-24,prepared-not-sent,45,mobile planner reviewer,mobile friend group beta reviewer,Barcelona,phone,390x844,planner; trip-studio; map; public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+budget+3-day+Barcelona+beach+and+neighborhood+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-003-barcelona.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.json,[Globe.travel beta] BETA-HR-003 Barcelona review due 2026-05-25
BETA-HR-004,BETA-WAVE-01,2026-05-22,2026-05-25,2026-05-22,2026-05-24,prepared-not-sent,45,share-feedback reviewer,desktop couple beta reviewer,Paris,desktop,1440x950,planner; trip-studio; map; public-share; feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+premium+4-day+Paris+trip+for+a+couple+with+restaurants%2C+art%2C+and+romantic+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-004-paris.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.json,[Globe.travel beta] BETA-HR-004 Paris review due 2026-05-25
BETA-HR-005,BETA-WAVE-01,2026-05-22,2026-05-25,2026-05-22,2026-05-24,prepared-not-sent,45,continuity reviewer,desktop friend group beta reviewer,New York,desktop,1440x950,planner; trip-studio; map; save-reopen; public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+New+York+trip+for+repeat+visitors+who+want+neighborhoods%2C+food%2C+and+fresh+ideas.,qa/beta-human-review-packets-2026-05-21/BETA-HR-005-new-york.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.json,[Globe.travel beta] BETA-HR-005 New York review due 2026-05-25
BETA-HR-006,BETA-WAVE-02,2026-05-26,2026-05-27,2026-05-26,2026-05-26,prepared-not-sent,45,share-feedback reviewer,mobile friend group beta reviewer,Istanbul,phone,390x844,planner; trip-studio; map; public-share; feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Istanbul+history+and+markets+trip+for+a+small+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-006-istanbul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.json,[Globe.travel beta] BETA-HR-006 Istanbul review due 2026-05-27
BETA-HR-007,BETA-WAVE-02,2026-05-26,2026-05-27,2026-05-26,2026-05-26,prepared-not-sent,45,desktop trip-studio reviewer,desktop friend group beta reviewer,Seoul,desktop,1440x950,planner; trip-studio; map; public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Seoul+food+and+shopping+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-007-seoul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.json,[Globe.travel beta] BETA-HR-007 Seoul review due 2026-05-27
BETA-HR-008,BETA-WAVE-02,2026-05-26,2026-05-27,2026-05-26,2026-05-26,prepared-not-sent,45,share-feedback reviewer,mobile friend group beta reviewer,Bangkok,phone,390x844,planner; trip-studio; map; public-share; feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Bangkok+trip+with+temples%2C+street+food%2C+and+easy+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-008-bangkok.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.json,[Globe.travel beta] BETA-HR-008 Bangkok review due 2026-05-27
BETA-HR-009,BETA-WAVE-02,2026-05-26,2026-05-27,2026-05-26,2026-05-26,prepared-not-sent,45,desktop trip-studio reviewer,desktop couple beta reviewer,Marrakech,desktop,1440x950,planner; trip-studio; map; public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Marrakech+trip+around+markets%2C+riads%2C+food%2C+and+culture.,qa/beta-human-review-packets-2026-05-21/BETA-HR-009-marrakech.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.json,[Globe.travel beta] BETA-HR-009 Marrakech review due 2026-05-27
BETA-HR-010,BETA-WAVE-02,2026-05-26,2026-05-27,2026-05-26,2026-05-26,prepared-not-sent,45,share-feedback reviewer,mobile friend group beta reviewer,Cape Town,phone,390x844,planner; trip-studio; map; public-share; feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Cape+Town+outdoors+and+food+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-010-cape-town.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.json,[Globe.travel beta] BETA-HR-010 Cape Town review due 2026-05-27
BETA-HR-011,BETA-WAVE-03,2026-05-28,2026-05-29,2026-05-28,2026-05-28,prepared-not-sent,45,desktop trip-studio reviewer,desktop friend group beta reviewer,Sydney,desktop,1440x950,planner; trip-studio; map; public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Sydney+trip+for+beaches%2C+neighborhoods%2C+and+easy+food+stops.,qa/beta-human-review-packets-2026-05-21/BETA-HR-011-sydney.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-011-sydney.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-011-sydney.json,[Globe.travel beta] BETA-HR-011 Sydney review due 2026-05-29
BETA-HR-012,BETA-WAVE-03,2026-05-28,2026-05-29,2026-05-28,2026-05-28,prepared-not-sent,45,share-feedback reviewer,mobile friend group beta reviewer,Vancouver,phone,390x844,planner; trip-studio; map; public-share; feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Vancouver+outdoors+and+food+trip+for+a+mixed+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-012-vancouver.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-012-vancouver.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-012-vancouver.json,[Globe.travel beta] BETA-HR-012 Vancouver review due 2026-05-29
BETA-HR-013,BETA-WAVE-03,2026-05-28,2026-05-29,2026-05-28,2026-05-28,prepared-not-sent,45,share-feedback reviewer,desktop friend group beta reviewer,Rio de Janeiro,desktop,1440x950,planner; trip-studio; map; public-share; feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Rio+beach+and+nightlife+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-013-rio-de-janeiro.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.json,[Globe.travel beta] BETA-HR-013 Rio de Janeiro review due 2026-05-29
BETA-HR-014,BETA-WAVE-03,2026-05-28,2026-05-29,2026-05-28,2026-05-28,prepared-not-sent,45,continuity reviewer,mobile couple beta reviewer,Reykjavik,phone,390x844,planner; trip-studio; map; save-reopen,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Reykjavik+outdoors+trip+with+weather-safe+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-014-reykjavik.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.json,[Globe.travel beta] BETA-HR-014 Reykjavik review due 2026-05-29
BETA-HR-015,BETA-WAVE-03,2026-05-28,2026-05-29,2026-05-28,2026-05-28,prepared-not-sent,45,share-feedback reviewer,desktop family beta reviewer,Crete,desktop,1440x950,planner; trip-studio; map; public-share; feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Crete+family+beach+trip+with+culture+and+relaxed+travel+days.,qa/beta-human-review-packets-2026-05-21/BETA-HR-015-crete.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.json,[Globe.travel beta] BETA-HR-015 Crete review due 2026-05-29
BETA-HR-016,BETA-WAVE-04,2026-06-01,2026-06-02,2026-06-01,2026-06-01,prepared-not-sent,45,mobile planner reviewer,mobile family beta reviewer,Singapore,phone,390x844,planner; trip-studio; map; public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Singapore+family+food+trip+with+easy+transit+and+heat-aware+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-016-singapore.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.json,[Globe.travel beta] BETA-HR-016 Singapore review due 2026-06-02
BETA-HR-017,BETA-WAVE-04,2026-06-01,2026-06-02,2026-06-01,2026-06-01,prepared-not-sent,45,share-feedback reviewer,desktop family beta reviewer,Dubai,desktop,1440x950,planner; trip-studio; map; public-share; feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+luxury+Dubai+family+trip+with+indoor+options+and+clear+logistics.,qa/beta-human-review-packets-2026-05-21/BETA-HR-017-dubai.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.json,[Globe.travel beta] BETA-HR-017 Dubai review due 2026-06-02
BETA-HR-018,BETA-WAVE-04,2026-06-01,2026-06-02,2026-06-01,2026-06-01,prepared-not-sent,45,continuity reviewer,mobile couple beta reviewer,Madrid and Seville,phone,390x844,planner; trip-studio; map; save-reopen; public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Madrid+and+Seville+trip+with+food%2C+culture%2C+and+intercity+flow.,qa/beta-human-review-packets-2026-05-21/BETA-HR-018-madrid-and-seville.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.json,[Globe.travel beta] BETA-HR-018 Madrid and Seville review due 2026-06-02
BETA-HR-019,BETA-WAVE-04,2026-06-01,2026-06-02,2026-06-01,2026-06-01,prepared-not-sent,45,desktop trip-studio reviewer,desktop solo beta reviewer,Kyoto,desktop,1440x950,planner; trip-studio; map; public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+solo+Kyoto+trip+with+temples%2C+food%2C+and+calm+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-019-kyoto.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-019-kyoto.json,[Globe.travel beta] BETA-HR-019 Kyoto review due 2026-06-02
BETA-HR-020,BETA-WAVE-04,2026-06-01,2026-06-02,2026-06-01,2026-06-01,prepared-not-sent,45,continuity reviewer,mobile solo beta reviewer,Seattle,phone,390x844,planner; trip-studio; map; save-reopen,https://globe-travel-two.vercel.app/chat?q=Plan+a+2-day+solo+Seattle+coffee+and+music+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-020-seattle.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-020-seattle.json,[Globe.travel beta] BETA-HR-020 Seattle review due 2026-06-02
BETA-HR-021,BETA-WAVE-05,2026-06-03,2026-06-04,2026-06-03,2026-06-03,prepared-not-sent,45,desktop trip-studio reviewer,desktop solo beta reviewer,Bali,desktop,1440x950,planner; trip-studio; map; public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+solo+Bali+reset+trip+with+wellness%2C+food%2C+and+gentle+exploration.,qa/beta-human-review-packets-2026-05-21/BETA-HR-021-bali.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-021-bali.json,[Globe.travel beta] BETA-HR-021 Bali review due 2026-06-04
BETA-HR-022,BETA-WAVE-05,2026-06-03,2026-06-04,2026-06-03,2026-06-03,prepared-not-sent,45,share-feedback reviewer,mobile solo beta reviewer,Nairobi,phone,390x844,planner; trip-studio; map; public-share; feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+solo+Nairobi+culture+and+nature+trip.,qa/beta-human-review-packets-2026-05-21/BETA-HR-022-nairobi.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-022-nairobi.json,[Globe.travel beta] BETA-HR-022 Nairobi review due 2026-06-04
BETA-HR-023,BETA-WAVE-05,2026-06-03,2026-06-04,2026-06-03,2026-06-03,prepared-not-sent,45,continuity reviewer,desktop family beta reviewer,Washington DC,desktop,1440x950,planner; trip-studio; map; save-reopen; public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Washington+DC+museums+trip+for+a+family.,qa/beta-human-review-packets-2026-05-21/BETA-HR-023-washington-dc.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-023-washington-dc.json,[Globe.travel beta] BETA-HR-023 Washington DC review due 2026-06-04
