id,waveId,destination,reviewerRole,device,viewport,sendBy,followUpAt,dueAt,dispatchStatus,messageSubject,messageFile,startUrl,packetPath,submissionTemplatePath,completedSubmissionPath
BETA-HR-001,BETA-WAVE-01,Athens,mobile couple beta reviewer,phone,390x844,2026-05-22,2026-05-24,2026-05-25,prepared-not-sent,[Globe.travel beta] BETA-HR-001 Athens review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-001-athens.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+restful+5-day+Athens+trip+for+a+couple+with+culture%2C+food%2C+and+recovery+time.,qa/beta-human-review-packets-2026-05-21/BETA-HR-001-athens.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.json
BETA-HR-002,BETA-WAVE-01,Lisbon,desktop friend group beta reviewer,desktop,1440x950,2026-05-22,2026-05-24,2026-05-25,prepared-not-sent,[Globe.travel beta] BETA-HR-002 Lisbon review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-002-lisbon.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Lisbon+trip+for+friends+who+want+food%2C+viewpoints%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-002-lisbon.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.json
BETA-HR-003,BETA-WAVE-01,Barcelona,mobile friend group beta reviewer,phone,390x844,2026-05-22,2026-05-24,2026-05-25,prepared-not-sent,[Globe.travel beta] BETA-HR-003 Barcelona review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-003-barcelona.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+budget+3-day+Barcelona+beach+and+neighborhood+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-003-barcelona.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.json
BETA-HR-004,BETA-WAVE-01,Paris,desktop couple beta reviewer,desktop,1440x950,2026-05-22,2026-05-24,2026-05-25,prepared-not-sent,[Globe.travel beta] BETA-HR-004 Paris review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-004-paris.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+premium+4-day+Paris+trip+for+a+couple+with+restaurants%2C+art%2C+and+romantic+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-004-paris.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.json
BETA-HR-005,BETA-WAVE-01,New York,desktop friend group beta reviewer,desktop,1440x950,2026-05-22,2026-05-24,2026-05-25,prepared-not-sent,[Globe.travel beta] BETA-HR-005 New York review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-005-new-york.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+New+York+trip+for+repeat+visitors+who+want+neighborhoods%2C+food%2C+and+fresh+ideas.,qa/beta-human-review-packets-2026-05-21/BETA-HR-005-new-york.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.json
BETA-HR-006,BETA-WAVE-02,Istanbul,mobile friend group beta reviewer,phone,390x844,2026-05-26,2026-05-26,2026-05-27,prepared-not-sent,[Globe.travel beta] BETA-HR-006 Istanbul review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-006-istanbul.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Istanbul+history+and+markets+trip+for+a+small+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-006-istanbul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.json
BETA-HR-007,BETA-WAVE-02,Seoul,desktop friend group beta reviewer,desktop,1440x950,2026-05-26,2026-05-26,2026-05-27,prepared-not-sent,[Globe.travel beta] BETA-HR-007 Seoul review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-007-seoul.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Seoul+food+and+shopping+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-007-seoul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.json
BETA-HR-008,BETA-WAVE-02,Bangkok,mobile friend group beta reviewer,phone,390x844,2026-05-26,2026-05-26,2026-05-27,prepared-not-sent,[Globe.travel beta] BETA-HR-008 Bangkok review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-008-bangkok.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Bangkok+trip+with+temples%2C+street+food%2C+and+easy+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-008-bangkok.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.json
BETA-HR-009,BETA-WAVE-02,Marrakech,desktop couple beta reviewer,desktop,1440x950,2026-05-26,2026-05-26,2026-05-27,prepared-not-sent,[Globe.travel beta] BETA-HR-009 Marrakech review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-009-marrakech.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Marrakech+trip+around+markets%2C+riads%2C+food%2C+and+culture.,qa/beta-human-review-packets-2026-05-21/BETA-HR-009-marrakech.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.json
BETA-HR-010,BETA-WAVE-02,Cape Town,mobile friend group beta reviewer,phone,390x844,2026-05-26,2026-05-26,2026-05-27,prepared-not-sent,[Globe.travel beta] BETA-HR-010 Cape Town review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-010-cape-town.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Cape+Town+outdoors+and+food+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-010-cape-town.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.json
BETA-HR-011,BETA-WAVE-03,Sydney,desktop friend group beta reviewer,desktop,1440x950,2026-05-28,2026-05-28,2026-05-29,prepared-not-sent,[Globe.travel beta] BETA-HR-011 Sydney review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-011-sydney.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Sydney+trip+for+beaches%2C+neighborhoods%2C+and+easy+food+stops.,qa/beta-human-review-packets-2026-05-21/BETA-HR-011-sydney.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-011-sydney.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-011-sydney.json
BETA-HR-012,BETA-WAVE-03,Vancouver,mobile friend group beta reviewer,phone,390x844,2026-05-28,2026-05-28,2026-05-29,prepared-not-sent,[Globe.travel beta] BETA-HR-012 Vancouver review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-012-vancouver.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Vancouver+outdoors+and+food+trip+for+a+mixed+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-012-vancouver.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-012-vancouver.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-012-vancouver.json
BETA-HR-013,BETA-WAVE-03,Rio de Janeiro,desktop friend group beta reviewer,desktop,1440x950,2026-05-28,2026-05-28,2026-05-29,prepared-not-sent,[Globe.travel beta] BETA-HR-013 Rio de Janeiro review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-013-rio-de-janeiro.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Rio+beach+and+nightlife+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-013-rio-de-janeiro.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.json
BETA-HR-014,BETA-WAVE-03,Reykjavik,mobile couple beta reviewer,phone,390x844,2026-05-28,2026-05-28,2026-05-29,prepared-not-sent,[Globe.travel beta] BETA-HR-014 Reykjavik review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-014-reykjavik.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Reykjavik+outdoors+trip+with+weather-safe+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-014-reykjavik.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.json
BETA-HR-015,BETA-WAVE-03,Crete,desktop family beta reviewer,desktop,1440x950,2026-05-28,2026-05-28,2026-05-29,prepared-not-sent,[Globe.travel beta] BETA-HR-015 Crete review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-015-crete.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Crete+family+beach+trip+with+culture+and+relaxed+travel+days.,qa/beta-human-review-packets-2026-05-21/BETA-HR-015-crete.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.json
