id,waveId,kickoffAt,dueAt,status,owner,reviewerCohort,reviewerRole,destination,audience,style,region,device,viewport,surfaces,startUrl,packetPath,submissionTemplatePath,assignee,completedSubmissionPath,notes
BETA-HR-001,BETA-WAVE-01,2026-05-22,2026-05-25,scheduled,Product,continuity reviewer,mobile couple beta reviewer,Athens,couple,culture,Europe,phone,390x844,planner|trip-studio|map|public-share|feedback|save-reopen,https://globe-travel-two.vercel.app/chat?q=Plan+a+restful+5-day+Athens+trip+for+a+couple+with+culture%2C+food%2C+and+recovery+time.,qa/beta-human-review-packets-2026-05-21/BETA-HR-001-athens.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.template.json,,,
BETA-HR-002,BETA-WAVE-01,2026-05-22,2026-05-25,scheduled,Product,share-feedback reviewer,desktop friend group beta reviewer,Lisbon,friend-group,nightlife,Europe,desktop,1440x950,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Lisbon+trip+for+friends+who+want+food%2C+viewpoints%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-002-lisbon.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.template.json,,,
BETA-HR-003,BETA-WAVE-01,2026-05-22,2026-05-25,scheduled,Product,mobile planner reviewer,mobile friend group beta reviewer,Barcelona,friend-group,budget,Europe,phone,390x844,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+budget+3-day+Barcelona+beach+and+neighborhood+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-003-barcelona.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.template.json,,,
BETA-HR-004,BETA-WAVE-01,2026-05-22,2026-05-25,scheduled,Product,share-feedback reviewer,desktop couple beta reviewer,Paris,couple,premium,Europe,desktop,1440x950,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+premium+4-day+Paris+trip+for+a+couple+with+restaurants%2C+art%2C+and+romantic+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-004-paris.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.template.json,,,
BETA-HR-005,BETA-WAVE-01,2026-05-22,2026-05-25,scheduled,Product,continuity reviewer,desktop friend group beta reviewer,New York,friend-group,food,North America,desktop,1440x950,planner|trip-studio|map|save-reopen|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+New+York+trip+for+repeat+visitors+who+want+neighborhoods%2C+food%2C+and+fresh+ideas.,qa/beta-human-review-packets-2026-05-21/BETA-HR-005-new-york.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.template.json,,,
BETA-HR-006,BETA-WAVE-02,2026-05-26,2026-05-27,scheduled,Product,share-feedback reviewer,mobile friend group beta reviewer,Istanbul,friend-group,culture,Asia,phone,390x844,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Istanbul+history+and+markets+trip+for+a+small+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-006-istanbul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.template.json,,,
BETA-HR-007,BETA-WAVE-02,2026-05-26,2026-05-27,scheduled,Product,desktop trip-studio reviewer,desktop friend group beta reviewer,Seoul,friend-group,food,Asia,desktop,1440x950,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Seoul+food+and+shopping+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-007-seoul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.template.json,,,
BETA-HR-008,BETA-WAVE-02,2026-05-26,2026-05-27,scheduled,Product,share-feedback reviewer,mobile friend group beta reviewer,Bangkok,friend-group,food,Asia,phone,390x844,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Bangkok+trip+with+temples%2C+street+food%2C+and+easy+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-008-bangkok.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.template.json,,,
BETA-HR-009,BETA-WAVE-02,2026-05-26,2026-05-27,scheduled,Product,desktop trip-studio reviewer,desktop couple beta reviewer,Marrakech,couple,culture,Africa,desktop,1440x950,planner|trip-studio|map|public-share,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Marrakech+trip+around+markets%2C+riads%2C+food%2C+and+culture.,qa/beta-human-review-packets-2026-05-21/BETA-HR-009-marrakech.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.template.json,,,
BETA-HR-010,BETA-WAVE-02,2026-05-26,2026-05-27,scheduled,Product,share-feedback reviewer,mobile friend group beta reviewer,Cape Town,friend-group,outdoors,Africa,phone,390x844,planner|trip-studio|map|public-share|feedback,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Cape+Town+outdoors+and+food+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-010-cape-town.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.template.json,,,
