blockerId,workType,id,sendBy,sendTiming,followUpAt,followUpTiming,dueAt,dueTiming,owner,reviewerRole,dispatchStatus,timeboxMinutes,status,action,urlOrCommand,packetOrArtifact,submissionPath,evidenceRule
beta-human-review-threshold,beta-human-review,BETA-HR-001,2026-05-22,send overdue by 14 days,2026-05-24,follow-up overdue by 12 days,2026-05-25,review overdue by 11 days,Product,mobile couple beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-001 dispatch is overdue by 14 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+restful+5-day+Athens+trip+for+a+couple+with+culture%2C+food%2C+and+recovery+time.,qa/beta-human-review-packets-2026-05-21/BETA-HR-001-athens.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-002,2026-05-22,send overdue by 14 days,2026-05-24,follow-up overdue by 12 days,2026-05-25,review overdue by 11 days,Product,desktop friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-002 dispatch is overdue by 14 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Lisbon+trip+for+friends+who+want+food%2C+viewpoints%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-002-lisbon.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-003,2026-05-22,send overdue by 14 days,2026-05-24,follow-up overdue by 12 days,2026-05-25,review overdue by 11 days,Product,mobile friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-003 dispatch is overdue by 14 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+budget+3-day+Barcelona+beach+and+neighborhood+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-003-barcelona.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-004,2026-05-22,send overdue by 14 days,2026-05-24,follow-up overdue by 12 days,2026-05-25,review overdue by 11 days,Product,desktop couple beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-004 dispatch is overdue by 14 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+premium+4-day+Paris+trip+for+a+couple+with+restaurants%2C+art%2C+and+romantic+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-004-paris.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-005,2026-05-22,send overdue by 14 days,2026-05-24,follow-up overdue by 12 days,2026-05-25,review overdue by 11 days,Product,desktop friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-005 dispatch is overdue by 14 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+New+York+trip+for+repeat+visitors+who+want+neighborhoods%2C+food%2C+and+fresh+ideas.,qa/beta-human-review-packets-2026-05-21/BETA-HR-005-new-york.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-006,2026-05-26,send overdue by 10 days,2026-05-26,follow-up overdue by 10 days,2026-05-27,review overdue by 9 days,Product,mobile friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-006 dispatch is overdue by 10 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Istanbul+history+and+markets+trip+for+a+small+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-006-istanbul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-007,2026-05-26,send overdue by 10 days,2026-05-26,follow-up overdue by 10 days,2026-05-27,review overdue by 9 days,Product,desktop friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-007 dispatch is overdue by 10 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Seoul+food+and+shopping+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-007-seoul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-008,2026-05-26,send overdue by 10 days,2026-05-26,follow-up overdue by 10 days,2026-05-27,review overdue by 9 days,Product,mobile friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-008 dispatch is overdue by 10 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Bangkok+trip+with+temples%2C+street+food%2C+and+easy+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-008-bangkok.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-009,2026-05-26,send overdue by 10 days,2026-05-26,follow-up overdue by 10 days,2026-05-27,review overdue by 9 days,Product,desktop couple beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-009 dispatch is overdue by 10 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Marrakech+trip+around+markets%2C+riads%2C+food%2C+and+culture.,qa/beta-human-review-packets-2026-05-21/BETA-HR-009-marrakech.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
beta-human-review-threshold,beta-human-review,BETA-HR-010,2026-05-26,send overdue by 10 days,2026-05-26,follow-up overdue by 10 days,2026-05-27,review overdue by 9 days,Product,mobile friend group beta reviewer,prepared-not-sent,45,needs completed review submission,"BETA-HR-010 dispatch is overdue by 10 days; send or reassign immediately, record sent proof, then validate completed intake after the human review arrives.",https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Cape+Town+outdoors+and+food+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-010-cape-town.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.json,Counts only after a non-template JSON submission passes beta review intake and is explicitly imported.
