id,waveId,destination,expectedSendBy,followUpAt,dueAt,sendStatus,reviewerAlias,deliveryChannel,sentAt,contactRecordLocation,messageFile,completedSubmissionPath
BETA-HR-001,BETA-WAVE-01,Athens,2026-05-22,2026-05-24,2026-05-25,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-001-athens.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.json
BETA-HR-002,BETA-WAVE-01,Lisbon,2026-05-22,2026-05-24,2026-05-25,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-002-lisbon.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.json
BETA-HR-003,BETA-WAVE-01,Barcelona,2026-05-22,2026-05-24,2026-05-25,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-003-barcelona.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.json
BETA-HR-004,BETA-WAVE-01,Paris,2026-05-22,2026-05-24,2026-05-25,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-004-paris.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.json
BETA-HR-005,BETA-WAVE-01,New York,2026-05-22,2026-05-24,2026-05-25,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-005-new-york.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.json
BETA-HR-006,BETA-WAVE-02,Istanbul,2026-05-26,2026-05-26,2026-05-27,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-006-istanbul.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.json
BETA-HR-007,BETA-WAVE-02,Seoul,2026-05-26,2026-05-26,2026-05-27,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-007-seoul.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.json
BETA-HR-008,BETA-WAVE-02,Bangkok,2026-05-26,2026-05-26,2026-05-27,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-008-bangkok.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.json
BETA-HR-009,BETA-WAVE-02,Marrakech,2026-05-26,2026-05-26,2026-05-27,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-009-marrakech.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.json
BETA-HR-010,BETA-WAVE-02,Cape Town,2026-05-26,2026-05-26,2026-05-27,prepared-not-sent,,,,,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-010-cape-town.txt,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.json
