priority,workType,id,destination,owner,sendBy,sendTiming,followUpAt,followUpTiming,dueAt,dueTiming,daysUntilDue,sendStatus,reviewerAlias,contactRecordLocation,action,messageSubject,messageFile,startUrlOrCommand,packetOrArtifact,submissionPath,validateCommand,importCommand
P0,beta-human-review,BETA-HR-001,Athens,Product,2026-05-22,send overdue by 5 days,2026-05-24,follow-up overdue by 3 days,2026-05-25,review overdue by 2 days,-2,prepared-not-sent,,,"BETA-HR-001 dispatch is overdue by 5 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 3 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 2 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-001 Athens review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-001-athens.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+restful+5-day+Athens+trip+for+a+couple+with+culture%2C+food%2C+and+recovery+time.,qa/beta-human-review-packets-2026-05-21/BETA-HR-001-athens.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-002,Lisbon,Product,2026-05-22,send overdue by 5 days,2026-05-24,follow-up overdue by 3 days,2026-05-25,review overdue by 2 days,-2,prepared-not-sent,,,"BETA-HR-002 dispatch is overdue by 5 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 3 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 2 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-002 Lisbon review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-002-lisbon.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Lisbon+trip+for+friends+who+want+food%2C+viewpoints%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-002-lisbon.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-003,Barcelona,Product,2026-05-22,send overdue by 5 days,2026-05-24,follow-up overdue by 3 days,2026-05-25,review overdue by 2 days,-2,prepared-not-sent,,,"BETA-HR-003 dispatch is overdue by 5 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 3 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 2 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-003 Barcelona review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-003-barcelona.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+budget+3-day+Barcelona+beach+and+neighborhood+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-003-barcelona.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-004,Paris,Product,2026-05-22,send overdue by 5 days,2026-05-24,follow-up overdue by 3 days,2026-05-25,review overdue by 2 days,-2,prepared-not-sent,,,"BETA-HR-004 dispatch is overdue by 5 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 3 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 2 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-004 Paris review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-004-paris.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+premium+4-day+Paris+trip+for+a+couple+with+restaurants%2C+art%2C+and+romantic+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-004-paris.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-005,New York,Product,2026-05-22,send overdue by 5 days,2026-05-24,follow-up overdue by 3 days,2026-05-25,review overdue by 2 days,-2,prepared-not-sent,,,"BETA-HR-005 dispatch is overdue by 5 days; send invite immediately or reassign, then record sent proof. Follow-up overdue by 3 days; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review overdue by 2 days; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-005 New York review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-005-new-york.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+New+York+trip+for+repeat+visitors+who+want+neighborhoods%2C+food%2C+and+fresh+ideas.,qa/beta-human-review-packets-2026-05-21/BETA-HR-005-new-york.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-006,Istanbul,Product,2026-05-26,send overdue by 1 day,2026-05-26,follow-up overdue by 1 day,2026-05-27,review today,0,prepared-not-sent,,,"BETA-HR-006 dispatch is overdue by 1 day; send invite immediately or reassign, then record sent proof. Follow-up overdue by 1 day; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review today; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-006 Istanbul review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-006-istanbul.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Istanbul+history+and+markets+trip+for+a+small+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-006-istanbul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-007,Seoul,Product,2026-05-26,send overdue by 1 day,2026-05-26,follow-up overdue by 1 day,2026-05-27,review today,0,prepared-not-sent,,,"BETA-HR-007 dispatch is overdue by 1 day; send invite immediately or reassign, then record sent proof. Follow-up overdue by 1 day; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review today; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-007 Seoul review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-007-seoul.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Seoul+food+and+shopping+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-007-seoul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-008,Bangkok,Product,2026-05-26,send overdue by 1 day,2026-05-26,follow-up overdue by 1 day,2026-05-27,review today,0,prepared-not-sent,,,"BETA-HR-008 dispatch is overdue by 1 day; send invite immediately or reassign, then record sent proof. Follow-up overdue by 1 day; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review today; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-008 Bangkok review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-008-bangkok.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Bangkok+trip+with+temples%2C+street+food%2C+and+easy+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-008-bangkok.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-009,Marrakech,Product,2026-05-26,send overdue by 1 day,2026-05-26,follow-up overdue by 1 day,2026-05-27,review today,0,prepared-not-sent,,,"BETA-HR-009 dispatch is overdue by 1 day; send invite immediately or reassign, then record sent proof. Follow-up overdue by 1 day; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review today; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-009 Marrakech review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-009-marrakech.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Marrakech+trip+around+markets%2C+riads%2C+food%2C+and+culture.,qa/beta-human-review-packets-2026-05-21/BETA-HR-009-marrakech.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
P0,beta-human-review,BETA-HR-010,Cape Town,Product,2026-05-26,send overdue by 1 day,2026-05-26,follow-up overdue by 1 day,2026-05-27,review today,0,prepared-not-sent,,,"BETA-HR-010 dispatch is overdue by 1 day; send invite immediately or reassign, then record sent proof. Follow-up overdue by 1 day; draft the follow-up, but do not send it until the initial invite is recorded as sent. Review today; track completed reviewer JSON and intake readiness.",[Globe.travel beta] BETA-HR-010 Cape Town review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-010-cape-town.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Cape+Town+outdoors+and+food+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-010-cape-town.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake
