id,workType,destination,messageSubject,messageFile,startUrlOrCommand,packetOrArtifact,submissionTemplatePath,completedSubmissionPath,validateCommand,importCommand,postImportCommands,reviewerAlias,deliveryChannel,sentAt,contactRecordLocation,notes,reviewerAliasExample,deliveryChannelExample,sentAtExample,contactRecordLocationExample
BETA-HR-001,beta-human-review,Athens,[Globe.travel beta] BETA-HR-001 Athens review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-001-athens.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+restful+5-day+Athens+trip+for+a+couple+with+culture%2C+food%2C+and+recovery+time.,qa/beta-human-review-packets-2026-05-21/BETA-HR-001-athens.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-001,external-outreach-log,2026-05-26T12:00:00.000Z,external-record:beta-hr-001-sent-proof
BETA-HR-002,beta-human-review,Lisbon,[Globe.travel beta] BETA-HR-002 Lisbon review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-002-lisbon.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Lisbon+trip+for+friends+who+want+food%2C+viewpoints%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-002-lisbon.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-002,external-outreach-log,2026-05-26T12:00:00.000Z,external-record:beta-hr-002-sent-proof
BETA-HR-003,beta-human-review,Barcelona,[Globe.travel beta] BETA-HR-003 Barcelona review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-003-barcelona.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+budget+3-day+Barcelona+beach+and+neighborhood+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-003-barcelona.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-003,external-outreach-log,2026-05-26T12:00:00.000Z,external-record:beta-hr-003-sent-proof
BETA-HR-004,beta-human-review,Paris,[Globe.travel beta] BETA-HR-004 Paris review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-004-paris.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+premium+4-day+Paris+trip+for+a+couple+with+restaurants%2C+art%2C+and+romantic+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-004-paris.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-004,external-outreach-log,2026-05-26T12:00:00.000Z,external-record:beta-hr-004-sent-proof
BETA-HR-005,beta-human-review,New York,[Globe.travel beta] BETA-HR-005 New York review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-005-new-york.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+New+York+trip+for+repeat+visitors+who+want+neighborhoods%2C+food%2C+and+fresh+ideas.,qa/beta-human-review-packets-2026-05-21/BETA-HR-005-new-york.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-005,external-outreach-log,2026-05-26T12:00:00.000Z,external-record:beta-hr-005-sent-proof
BETA-HR-006,beta-human-review,Istanbul,[Globe.travel beta] BETA-HR-006 Istanbul review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-006-istanbul.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Istanbul+history+and+markets+trip+for+a+small+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-006-istanbul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-006,external-outreach-log,2026-05-26T12:00:00.000Z,external-record:beta-hr-006-sent-proof
BETA-HR-007,beta-human-review,Seoul,[Globe.travel beta] BETA-HR-007 Seoul review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-007-seoul.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Seoul+food+and+shopping+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-007-seoul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-007,external-outreach-log,2026-05-26T12:00:00.000Z,external-record:beta-hr-007-sent-proof
BETA-HR-008,beta-human-review,Bangkok,[Globe.travel beta] BETA-HR-008 Bangkok review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-008-bangkok.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Bangkok+trip+with+temples%2C+street+food%2C+and+easy+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-008-bangkok.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-008,external-outreach-log,2026-05-26T12:00:00.000Z,external-record:beta-hr-008-sent-proof
BETA-HR-009,beta-human-review,Marrakech,[Globe.travel beta] BETA-HR-009 Marrakech review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-009-marrakech.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Marrakech+trip+around+markets%2C+riads%2C+food%2C+and+culture.,qa/beta-human-review-packets-2026-05-21/BETA-HR-009-marrakech.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-009,external-outreach-log,2026-05-26T12:00:00.000Z,external-record:beta-hr-009-sent-proof
BETA-HR-010,beta-human-review,Cape Town,[Globe.travel beta] BETA-HR-010 Cape Town review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-010-cape-town.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Cape+Town+outdoors+and+food+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-010-cape-town.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.template.json,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.json,npm run qa:beta-review-intake,QA_BETA_REVIEW_IMPORT=1 npm run qa:beta-review-intake,npm run qa:launch-refresh; npm run qa:launch-signoff,,,,,"Fill only after real outreach is sent. Do not store reviewer names, email addresses, phone numbers, or other contact details in this repo.",reviewer-beta-hr-010,external-outreach-log,2026-05-26T12:00:00.000Z,external-record:beta-hr-010-sent-proof
